price,guest,bedroom,bathroom,BaVi,BacTuLiem,CauGiay,ChuongMy,DongAnh,DongDa,HaDong,HaiBaTrung,HoanKiem,HoangMai,LongBien,NamTuLiem,QuocOai,SocSon,SonTay,TayHo,ThachThat,ThanhXuan,Condominium,Entire House,Service Apartment,Studio Apartment,Villa,30PhamVanDong,B4B14KimLien,D2GiangVo,DLePontDorHoangCau,DiscoveryComplex,EcolifeCapitol,EcolifeTayHo,EuroWindowMultiComplex,FLCGreenHome,FLCStarTower,GelexiaRiverside,HoangCauSkyline,HomeCity,HongKongTower,ITTBuilding,ImperiaGarden,ImperialPlaza,IndochinaPlazaHanoi,KeangamHanoiLandmarkTower,LancasterNuiTruc,LeRoiSoleilQuangAn,LotteCenterHanoi,LouisCityDaMo,MBLandCentralField,MipecRiverside,MyDinhPlaza2,NamTrungYen,PVVVinapharmNguyenHuyTuong,RoseGardenResort,RoyalGarden,SeasonsAvenue,SkyCenter,StarCity,SunGrandCity,SunGrandCityAncoraResidence,TNRGoldMarkCity,TheArtemis,TheGoldenPalm,TheLegendTower,TheLinkCiputra,TheSunMetri,TimesCityParkHill,VietDucComplex,VinataTower,VinhomesCapitaleTranDuyHung,VinhomesGardenia,VinhomesGreenBay,VinhomesMetropolis,VinhomesNguyenChiThanh,VinhomesRoyalCity,VinhomesSkyLake,VinhomesTimesCity
127.0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79.0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71.0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83.0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71.0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43.0,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
